"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
85313,"Acrylic Clear Container Makeup Case Cosmetic Storage Holder Organizer",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/2C/0C/8ec63c07-8713-49c4-a8a4-da073d3645cc.JPG,https://www.banggood.com/Acrylic-Clear-Container-Makeup-Case-Cosmetic-Storage-Holder-Organizer-reviews-p85313.html,"2,38€ ~ 19,92€",€0.76,https://www.banggood.com/Acrylic-Clear-Container-Makeup-Case-Cosmetic-Storage-Holder-Organizer-p-85313.html?p=4T181370308054202203&custlinkid=1845460
915939,"Travel Empty Cosmetic Cream Lotion Containers Plumbing Plastic Tube",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/CB/DD/9035d709-55b5-43ed-b651-6a5d60801594.jpg,https://www.banggood.com/Travel-Empty-Cosmetic-Cream-Lotion-Containers-Plumbing-Plastic-Tube-reviews-p915939.html,"15,25€ ~ 16,14€",€2.77,https://www.banggood.com/Travel-Empty-Cosmetic-Cream-Lotion-Containers-Plumbing-Plastic-Tube-p-915939.html?p=4T181370308054202203&custlinkid=1845461
916049,"Colorful Empty Cosmetic Jars Eyeshadow Nail Decals Container ",https://imgaz3.staticbg.com/thumb/gallery/upload/2012/limin/SKU110027/SKU110027-1.jpg,https://www.banggood.com/Colorful-Empty-Cosmetic-Jars-Eyeshadow-Nail-Decals-Container--reviews-p916049.html,"5,54€ ~ 6,49€",€1.72,https://www.banggood.com/Colorful-Empty-Cosmetic-Jars-Eyeshadow-Nail-Decals-Container--p-916049.html?p=4T181370308054202203&custlinkid=1845462
949948,"3ml Empty Transparent Cosmetic Jar Pot Ornament Cream Container",https://imgaz.staticbg.com/thumb/gallery/2014/luofang/10/SKU150961/SKU150961-1.jpg,https://www.banggood.com/3ml-Empty-Transparent-Cosmetic-Jar-Pot-Ornament-Cream-Container-reviews-p949948.html,"7,44€",€1.61,https://www.banggood.com/3ml-Empty-Transparent-Cosmetic-Jar-Pot-Ornament-Cream-Container-p-949948.html?p=4T181370308054202203&custlinkid=1845463
997881,"1Pcs Automatic Rotary Long Lasting Lip Liner Pencil Cosmetic",https://imgaz.staticbg.com/thumb/gallery/2014/luofang/09/SKU276325/main1.jpg,https://www.banggood.com/1Pcs-Automatic-Rotary-Long-Lasting-Lip-Liner-Pencil-Cosmetic-reviews-p997881.html,"7,44€",€1.61,https://www.banggood.com/1Pcs-Automatic-Rotary-Long-Lasting-Lip-Liner-Pencil-Cosmetic-p-997881.html?p=4T181370308054202203&custlinkid=1845464
1022883,"Stripe Transparent Cosmetic Bag Travel PVC Bow Tie Make Up Organizer Case ",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/75/E2/46283e32-36b0-4d20-a367-e0adaddf3705.jpg,https://www.banggood.com/Stripe-Transparent-Cosmetic-Bag-Travel-PVC-Bow-Tie-Make-Up-Organizer-Case--reviews-p1022883.html,"9,57€",€1.55,https://www.banggood.com/Stripe-Transparent-Cosmetic-Bag-Travel-PVC-Bow-Tie-Make-Up-Organizer-Case-p-1022883.html?p=4T181370308054202203&custlinkid=1845465
1028277,"Waterproof Color Changing Cosmetic Makeup Tool Case Storage Box Holder Organizer",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/13/C1/f924f334-cdcc-4439-bce6-6521e70f9b57.jpg,https://www.banggood.com/Waterproof-Color-Changing-Cosmetic-Makeup-Tool-Case-Storage-Box-Holder-Organizer-reviews-p1028277.html,"39,77€",€6.45,https://www.banggood.com/Waterproof-Color-Changing-Cosmetic-Makeup-Tool-Case-Storage-Box-Holder-Organizer-p-1028277.html?p=4T181370308054202203&custlinkid=1845466
1145373,"266pcs Optical Trial Case Lenses Sphere Cylinder Lenses Prism Frame Kit ",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/00/EE/728b527a-69d8-46f6-ae1f-6f3845d64511.jpeg,https://www.banggood.com/266pcs-Optical-Trial-Case-Lenses-Sphere-Cylinder-Lenses-Prism-Frame-Kit--reviews-p1145373.html,"376,14€",€60.98,https://www.banggood.com/266pcs-Optical-Trial-Case-Lenses-Sphere-Cylinder-Lenses-Prism-Frame-Kit--p-1145373.html?p=4T181370308054202203&custlinkid=1845467
1199750,"6pcs/set Halloween Costume Cosplay Party Makeup Face Eye Terror Temporary Tattoo Sticker Waterproof",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/4E/CD/d8821beb-0aa1-4652-bb4d-6ae45d548974.jpg,https://www.banggood.com/6pcs-or-set-Halloween-Costume-Cosplay-Party-Makeup-Face-Eye-Terror-Temporary-Tattoo-Sticker-Waterproof-reviews-p1199750.html,"18,15€",€2.94,https://www.banggood.com/6pcs-or-set-Halloween-Costume-Cosplay-Party-Makeup-Face-Eye-Terror-Temporary-Tattoo-Sticker-Waterproof-p-1199750.html?p=4T181370308054202203&custlinkid=1845468
1203414,"1Pc Big Shell Powder Brush Foundation Makeup Brushes",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/C7/B3/3ed99c1d-595d-488c-b216-1be15755f621.jpg,https://www.banggood.com/1Pc-Big-Shell-Powder-Brush-Foundation-Makeup-Brushes-reviews-p1203414.html,"10,63€",€1.72,https://www.banggood.com/1Pc-Big-Shell-Powder-Brush-Foundation-Makeup-Brushes-Women-Cosmetic-Tools-p-1203414.html?p=4T181370308054202203&custlinkid=1845469
1220604,"Shampoo Brush Hair Scalp Massager Shower Bath Massage Brush",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/AF/07/561dc6cf-3cbf-42d1-ad47-5600c8e6db6e.jpg,https://www.banggood.com/Shampoo-Brush-Hair-Scalp-Massager-Shower-Bath-Massage-Brush-reviews-p1220604.html,"8,50€",€1.84,https://www.banggood.com/Shampoo-Brush-Hair-Scalp-Massager-Shower-Bath-Massage-Brush-Comb-Manual-Head-Massager-for-Men-Women-Kids-and-Pets-Hair-Washing-p-1220604.html?p=4T181370308054202203&custlinkid=1845470
1242272,"Fake Eyelashes Small Mirror Storage Box with Glue Tweezers",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/34/42/d0e8263f-7dac-400d-9fb0-435313a72faf.jpg,https://www.banggood.com/Fake-Eyelashes-Small-Mirror-Storage-Box-with-Glue-Tweezers-reviews-p1242272.html,"12,94€",€2.1,https://www.banggood.com/False-Eyelash-Set-Fake-Eyelashes-Small-Mirror-Storage-Box-with-Glue-Tweezers-p-1242272.html?p=4T181370308054202203&custlinkid=1845471
1244020,"Stainless Steel Nail Nippers Straight Curved Tweezers",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/E4/35/a8ecbe7d-2092-4cfe-83ac-d40b9499f754.JPG,https://www.banggood.com/Stainless-Steel-Nail-Nippers-Straight-Curved-Tweezers-reviews-p1244020.html,"10,63€",€1.72,https://www.banggood.com/Stainless-Steel-Nail-Nippers-Straight-Curved-Tweezers-Nail-Rhinestone-Paillette-Glitter-Picker-Eye-Makeup-p-1244020.html?p=4T181370308054202203&custlinkid=1845472
1259642,"Laser IPL Permanent Hair Removal",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/35/16/4925eee2-81b9-432d-ad20-c73a2b29de70.JPG,https://www.banggood.com/Laser-IPL-Permanent-Hair-Removal-reviews-p1259642.html,"189,38€",€30.7,https://www.banggood.com/Laser-IPL-Permanent-Hair-Removal-Bikini-Face-Leg-Arm-Body-Care-Remover-Machine-p-1259642.html?p=4T181370308054202203&custlinkid=1845473
