"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1132608,"Casual Women Crew Neck Batwing Sleeve Striped Black Long Sweatshirt Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/26/DC/c6b05ddb-ca14-43f2-b723-45e72f0c11e4.jpg,https://usa.banggood.com/Casual-Women-Crew-Neck-Batwing-Sleeve-Striped-Black-Long-Sweatshirt-Dress-reviews-p1132608.html,"27,56€",€1.15,https://usa.banggood.com/Casual-Women-Crew-Neck-Batwing-Sleeve-Striped-Black-Long-Sweatshirt-Dress-p-1132608.html?p=4T181370308054202203&custlinkid=1814095
1161834,"Backless V-neck Sleeveless Irregular Hem Back Cross Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/05/89/08cc7ec0-ff4a-4be0-a65c-744b5f3e0019.jpg,https://usa.banggood.com/Backless-V-neck-Sleeveless-Irregular-Hem-Back-Cross-Maxi-Dress-reviews-p1161834.html,"23,15€",€0.97,https://usa.banggood.com/Backless-V-neck-Sleeveless-Irregular-Hem-Back-Cross-Maxi-Dress-p-1161834.html?p=4T181370308054202203&custlinkid=1813737
1290478,"Celmia Women Vintage Short Sleeve Cotton Loose Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/82/59/b20cd15b-c072-461a-bb9b-b0134b097c3a.jpg,https://usa.banggood.com/Celmia-Women-Vintage-Short-Sleeve-Cotton-Loose-Maxi-Dress-reviews-p1290478.html,"31,97€",€1.34,https://usa.banggood.com/Celmia-Women-Vintage-Short-Sleeve-Cotton-Loose-Maxi-Dress-p-1290478.html?p=4T181370308054202203&custlinkid=1813379
1294711,"Women Vintage V Neck Short Sleeve Cotton Maxi Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/1C/55/4530fb26-cdc5-4f2a-8528-d4c84e7d3ccd.jpg,https://usa.banggood.com/Women-Vintage-V-Neck-Short-Sleeve-Cotton-Maxi-Dress-reviews-p1294711.html,"27,45€",€1.15,https://usa.banggood.com/Women-Vintage-V-Neck-Short-Sleeve-Cotton-Maxi-Dress-p-1294711.html?p=4T181370308054202203&custlinkid=1814102
1360343,"Women Sleeveless Striped V-neck Sundress Retro Long Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/75/2A/992c2f6f-f608-40ef-852a-9828fa65af24.jpg,https://usa.banggood.com/Women-Sleeveless-Striped-V-neck-Sundress-Retro-Long-Maxi-Dress-reviews-p1360343.html,"27,56€",€1.15,https://usa.banggood.com/Women-Sleeveless-Striped-V-neck-Sundress-Retro-Long-Maxi-Dress-p-1360343.html?p=4T181370308054202203&custlinkid=1813318
1377005,"Vintage Women Cotton Plaid Casual Long Maxi Shirt Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/A0/46/487342aa-09df-4fcf-8c85-9d0cdcc386a0.jpg,https://usa.banggood.com/Vintage-Women-Cotton-Plaid-Casual-Long-Maxi-Shirt-Dress-reviews-p1377005.html,"27,56€",€1.15,https://usa.banggood.com/Vintage-Women-Cotton-Plaid-Casual-Long-Maxi-Shirt-Dress-p-1377005.html?p=4T181370308054202203&custlinkid=1813558
1377045,"Women Vintage 3/4 Sleeve Split Casual Solid Mid-long Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/50/CC/fbbb3c73-0b43-478a-a995-b5369862e8a1.jpg,https://usa.banggood.com/Women-Vintage-3-or-4-Sleeve-Split-Casual-Solid-Mid-long-Dress-reviews-p1377045.html,"23,15€",€0.97,https://usa.banggood.com/Women-Vintage-3-or-4-Sleeve-Split-Casual-Solid-Mid-long-Dress-p-1377045.html?p=4T181370308054202203&custlinkid=1813794
1392647,"Vintage Women Solid Loose Round Neck Button Down Front 3/4 Sleeve Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/B7/A0/54589980-bbbe-4169-8c12-a7e79e06ff8e.jpg,https://usa.banggood.com/Vintage-Women-Solid-Loose-Round-Neck-Button-Down-Front-3-or-4-Sleeve-Dress-reviews-p1392647.html,"23,15€",€0.97,https://usa.banggood.com/Vintage-Women-Solid-Loose-Round-Neck-Button-Down-Front-3-or-4-Sleeve-Dress-p-1392647.html?p=4T181370308054202203&custlinkid=1813263
1504997,"Women Vintage Print Stand Collar 3/4 Sleeve Dress with Pockets",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/15/37/143b61e7-41fa-40fb-9bce-af63bac9d918.jpg,https://usa.banggood.com/Women-Vintage-Print-Stand-Collar-3-or-4-Sleeve-Dress-with-Pockets-reviews-p1504997.html,"26,46€",€1.11,https://usa.banggood.com/Women-Vintage-Print-Stand-Collar-3-or-4-Sleeve-Dress-with-Pockets-p-1504997.html?p=4T181370308054202203&custlinkid=1813914
1530463,"Women Polka Dot Print O-neck Short Sleeve Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/75/CF/faa13e4f-1748-4f3e-b6a5-15622c7c2628.jpg,https://usa.banggood.com/Women-Polka-Dot-Print-O-neck-Short-Sleeve-Maxi-Dress-reviews-p1530463.html,"22,05€",€0.92,https://usa.banggood.com/Women-Polka-Dot-Print-O-neck-Short-Sleeve-Maxi-Dress-p-1530463.html?p=4T181370308054202203&custlinkid=1813383
