"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1465773,"Mens Fashion Colorful Contrast Color Printing Loose Casual Shirts",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/26/EA/4238158c-cb71-4e2c-bc4c-12aa17c56602.jpg,https://usa.banggood.com/Mens-Fashion-Colorful-Contrast-Color-Printing-Loose-Casual-Shirts-reviews-p1465773.html,"21,96€",€0.92,https://usa.banggood.com/Mens-Fashion-Colorful-Contrast-Color-Printing-Loose-Casual-Shirts-p-1465773.html?p=4T181370308054202203&custlinkid=1819025
1496404,"Mens Chinese Style Porcelain Floral Printed Short Sleeve Turn Down Collar Casual Shirts",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/51/DE/2f8662cd-fc59-48c9-ae22-fc76b56a85be.jpeg,https://usa.banggood.com/Mens-Chinese-Style-Porcelain-Floral-Printed-Short-Sleeve-Turn-Down-Collar-Casual-Shirts-reviews-p1496404.html,"21,96€",€0.92,https://usa.banggood.com/Mens-Chinese-Style-Porcelain-Floral-Printed-Short-Sleeve-Turn-Down-Collar-Casual-Shirts-p-1496404.html?p=4T181370308054202203&custlinkid=1819081
1525737,"Mens Cherry Blossoms Floral Print Short Sleeve Casual Vacation Shirts",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/CD/41/ec9f30a1-d4d6-4996-a237-34ced6273a92.jpg,https://usa.banggood.com/Mens-Cherry-Blossoms-Floral-Print-Short-Sleeve-Casual-Vacation-Shirts-reviews-p1525737.html,"21,96€",€0.92,https://usa.banggood.com/Mens-Cherry-Blossoms-Floral-Print-Short-Sleeve-Casual-Vacation-Shirts-p-1525737.html?p=4T181370308054202203&custlinkid=1819026
1527110,"Pine Leaves Print Cotton Short Sleeve Relaxed Shirts",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/F8/CD/ab0bdfea-eeaf-44d8-b595-85fbe91f74f8.JPG,https://usa.banggood.com/Pine-Leaves-Print-Cotton-Short-Sleeve-Relaxed-Shirts-reviews-p1527110.html,"21,96€",€0.92,https://usa.banggood.com/Pine-Leaves-Print-Cotton-Short-Sleeve-Relaxed-Shirts-p-1527110.html?p=4T181370308054202203&custlinkid=1819027
1535144,"Men Sun Moon Print Short Sleeve Relaxed Shirts",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/D1/EF/20942f48-a0d8-4646-8dc1-5b8f7ba1caa4.jpg,https://usa.banggood.com/Men-Sun-Moon-Print-Short-Sleeve-Relaxed-Shirts-reviews-p1535144.html,"21,96€",€0.92,https://usa.banggood.com/Men-Sun-Moon-Print-Short-Sleeve-Relaxed-Shirts-p-1535144.html?p=4T181370308054202203&custlinkid=1819082
1535736,"Cartoon Dinosaur Animal Printed Short Sleeve Casual Shirts",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/D2/2E/e77a991b-c601-4755-9b7e-9667a2f46aff.jpg,https://usa.banggood.com/Cartoon-Dinosaur-Animal-Printed-Short-Sleeve-Casual-Shirts-reviews-p1535736.html,"21,96€",€0.92,https://usa.banggood.com/Cartoon-Dinosaur-Animal-Printed-Short-Sleeve-Casual-Shirts-p-1535736.html?p=4T181370308054202203&custlinkid=1819083
1644753,"Mens Stripe Printing Graffiti Chest Pocket Short Sleeve Summer Shirts",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/B0/49/a038972a-46c7-4a46-ad25-428518ade8ae.jpg,https://usa.banggood.com/Mens-Stripe-Printing-Graffiti-Chest-Pocket-Short-Sleeve-Summer-Shirts-reviews-p1644753.html,"21,96€",€0.92,https://usa.banggood.com/Mens-Stripe-Printing-Graffiti-Chest-Pocket-Short-Sleeve-Summer-Shirts-p-1644753.html?p=4T181370308054202203&custlinkid=1794793
1644845,"Mens Fashion Color Block Stripe Short Sleeve Casual Shirts",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/64/77/aa388cb2-fcb2-4380-8060-7c36bd2b87ba.jpg,https://usa.banggood.com/Mens-Fashion-Color-Block-Stripe-Short-Sleeve-Casual-Shirts-reviews-p1644845.html,"21,96€",€0.92,https://usa.banggood.com/Mens-Fashion-Color-Block-Stripe-Short-Sleeve-Casual-Shirts-p-1644845.html?p=4T181370308054202203&custlinkid=1819030
1646547,"Mens Fashion Plain Color Striola Chest Pocket Short Sleeve Casual Shirts",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A1/5F/c874e8a0-e6a7-4c5f-a3cc-be3748f23f11.jpeg,https://usa.banggood.com/Mens-Fashion-Plain-Color-Striola-Chest-Pocket-Short-Sleeve-Casual-Shirts-reviews-p1646547.html,"22,91€",€0.96,https://usa.banggood.com/Mens-Fashion-Plain-Color-Striola-Chest-Pocket-Short-Sleeve-Casual-Shirts-p-1646547.html?p=4T181370308054202203&custlinkid=1819031
1650894,"Men Casual Loose Solid Color Patchwork Pocket Crew Neck Short Sleeve T-Shirts",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/66/7C/850920e2-3f05-48cd-b5bf-ca290e43965e.jpeg,https://usa.banggood.com/Men-Casual-Loose-Solid-Color-Patchwork-Pocket-Crew-Neck-Short-Sleeve-T-Shirts-reviews-p1650894.html,"24,82€",€1.04,https://usa.banggood.com/Men-Casual-Loose-Solid-Color-Patchwork-Pocket-Crew-Neck-Short-Sleeve-T-Shirts-p-1650894.html?p=4T181370308054202203&custlinkid=1819032
