"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1095365,"Seabed Simulation Coral Landscape Fish Tank Ornaments Aquarium Decoration Fish Tank Simulated Coral",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/11/68/58578623-8658-4289-98a6-cf7d3a910a39.jpg,https://www.banggood.com/Seabed-Simulation-Coral-Landscape-Fish-Tank-Ornaments-Aquarium-Decoration-Fish-Tank-Simulated-Coral-reviews-p1095365.html,"11,74€",€0.51,https://www.banggood.com/Seabed-Simulation-Coral-Landscape-Fish-Tank-Ornaments-Aquarium-Decoration-Fish-Tank-Simulated-Coral-p-1095365.html?p=4T181370308054202203&custlinkid=1835650
1121907,"3m 6m Long Aquarium Filter Cotton Tank Foam Cotton Pad Mat Media Filter",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/B3/E9/075487c6-0561-482e-99fb-09887c6e6464.jpg,https://www.banggood.com/3m-6m-Long-Aquarium-Filter-Cotton-Tank-Foam-Cotton-Pad-Mat-Media-Filter-reviews-p1121907.html,"3,69€ ~ 6,00€",€0.16,https://www.banggood.com/3m-6m-Long-Aquarium-Filter-Cotton-Tank-Foam-Cotton-Pad-Mat-Media-Filter-p-1121907.html?p=4T181370308054202203&custlinkid=1835651
1138604,"Yani-HP-PT5 Dog Pet Toys Natural Rubber Flying Catch Toy Pets Toy Soft Training Plate Floating Disc",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/9E/12/4918e400-2940-4766-a2d6-54309d9973b2.jpg,https://www.banggood.com/Yani-HP-PT5-Dog-Pet-Toys-Natural-Rubber-Flying-Catch-Toy-Pets-Toy-Soft-Training-Plate-Floating-Disc-reviews-p1138604.html,"11,76€",€0.51,https://www.banggood.com/Yani-HP-PT5-Dog-Pet-Toys-Natural-Rubber-Flying-Catch-Toy-Pets-Toy-Soft-Training-Plate-Floating-Disc-p-1138604.html?p=4T181370308054202203&custlinkid=1835652
1283867,"300W AC 220V Air Compressor ACO300A 0.04Mpa 240L/min Electromagnetic Aquarium Pump Air Compressor",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/63/8C/57a1693b-f3bd-4b7a-a116-4c12918bfd2d.jpg,https://www.banggood.com/300W-AC-220V-Air-Compressor-ACO300A-0_04Mpa-240L-or-min-Electromagnetic-Aquarium-Pump-Air-Compressor-reviews-p1283867.html,"101,76€",€4.4,https://www.banggood.com/300W-AC-220V-Air-Compressor-ACO300A-0_04Mpa-240L-or-min-Electromagnetic-Aquarium-Pump-Air-Compressor-p-1283867.html?p=4T181370308054202203&custlinkid=1835653
1295454,"Pet Dog Clipper Grooming Trimmer Hair Cut Professional Scissors Electric Shaver Kit Cat Supplies Clipper",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/7A/72/86e449ed-3a49-4f5d-abd8-060b5d4278c2.jpg,https://www.banggood.com/Pet-Dog-Clipper-Grooming-Trimmer-Hair-Cut-Professional-Scissors-Electric-Shaver-Kit-Cat-Supplies-Clipper-reviews-p1295454.html,"14,79€",€0.64,https://www.banggood.com/Pet-Dog-Clipper-Grooming-Trimmer-Hair-Cut-Professional-Scissors-Electric-Shaver-Kit-Cat-Supplies-Clipper-p-1295454.html?p=4T181370308054202203&custlinkid=1835654
1300966,"Cat Scratcher Kitten Mat Cat Scratch Board  Climbing Tree Chair Table Furniture Protector Pet Toys",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/9F/94/e5a8dda9-55fa-43ff-b9bb-2c02f7527a25.jpg,https://www.banggood.com/Cat-Scratcher-Kitten-Mat-Cat-Scratch-Board-Climbing-Tree-Chair-Table-Furniture-Protector-Pet-Toys-reviews-p1300966.html,"11,74€",€0.51,https://www.banggood.com/Cat-Scratcher-Kitten-Mat-Cat-Scratch-Board-Climbing-Tree-Chair-Table-Furniture-Protector-Pet-Toys-p-1300966.html?p=4T181370308054202203&custlinkid=1835655
1307366,"1300W 110/220V Electric Sheep Goat Horse Clipper Groomer Shaver Adjustable 6 Speed Shearing Machine US/AU/EU Plug",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/26/60/7caa23c4-c1e9-4fdc-b532-af1b3990b06f.jpg,https://www.banggood.com/1300W-110-or-220V-Electric-Sheep-Goat-Horse-Clipper-Groomer-Shaver-Adjustable-6-Speed-Shearing-Machine-US-or-AU-or-EU-Plug-reviews-p1307366.html,"83,26€",€3.6,https://www.banggood.com/1300W-110-or-220V-Electric-Sheep-Goat-Horse-Clipper-Groomer-Shaver-Adjustable-6-Speed-Shearing-Machine-US-or-AU-or-EU-Plug-p-1307366.html?p=4T181370308054202203&custlinkid=1835656
1310832,"Volcano Shape Aquarium Fish Tank Decor Oxygen Pump Air Bubble Stone Air Pump Drive Fish Tank Decorations",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/DC/16/5e42f7ba-f449-404d-8f5f-59d9f7021b0e.jpg,https://www.banggood.com/Volcano-Shape-Aquarium-Fish-Tank-Decor-Oxygen-Pump-Air-Bubble-Stone-Air-Pump-Drive-Fish-Tank-Decorations-reviews-p1310832.html,"12,02€ ~ 22,20€",€0.6,https://www.banggood.com/Volcano-Shape-Aquarium-Fish-Tank-Decor-Oxygen-Pump-Air-Bubble-Stone-Air-Pump-Drive-Fish-Tank-Decorations-p-1310832.html?p=4T181370308054202203&custlinkid=1835657
1423805,"USB Rechargeable Pet Hair Clipper Cat Dog Trimmer Kit Pet Grooming Scissor Portable Puppy Accessories",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/54/74/e7ab6674-eade-41ce-869e-59d376c2d1e7.jpeg,https://www.banggood.com/USB-Rechargeable-Pet-Hair-Clipper-Cat-Dog-Trimmer-Kit-Pet-Grooming-Scissor-Portable-Puppy-Accessories-reviews-p1423805.html,"12,02€",€0.52,https://www.banggood.com/USB-Rechargeable-Pet-Hair-Clipper-Cat-Dog-Trimmer-Kit-Pet-Grooming-Scissor-Portable-Puppy-Accessories-p-1423805.html?p=4T181370308054202203&custlinkid=1835658
1423962,"220V Electric Aquarium Syphon Tank Pump Fish Vacuum Gravel Water Filter Sand Cleaner",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/90/65/58f9945e-bdb3-4b9a-9e4b-a52f940c510e.jpeg,https://www.banggood.com/220V-Electric-Aquarium-Syphon-Tank-Pump-Fish-Vacuum-Gravel-Water-Filter-Sand-Cleaner-reviews-p1423962.html,"9,24€",€0.4,https://www.banggood.com/220V-Electric-Aquarium-Syphon-Tank-Pump-Fish-Vacuum-Gravel-Water-Filter-Sand-Cleaner-p-1423962.html?p=4T181370308054202203&custlinkid=1835659
