"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1256772,"HS 18301/18302 1/18 2.4G 4WD High Speed Big Foot RC Racing Car OFF-Road Vehicle Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/41/D8/ff627614-50c3-47f0-b633-c3b94e6956fc.jpg,https://www.banggood.com/HS-18301-or-18302-1-or-18-2_4G-4WD-High-Speed-Big-Foot-RC-Racing-Car-OFF-Road-Vehicle-Toys-reviews-p1256772.html,"72,66€",€5.5,https://www.banggood.com/HS-18301-or-18302-1-or-18-2_4G-4WD-High-Speed-Big-Foot-RC-Racing-Car-OFF-Road-Vehicle-Toys-p-1256772.html?p=4T181370308054202203&custlinkid=1796409
1307753,"HG P407 1/10 2.4G 4WD RC Car for TOYATO Metal 4X4 Pickup Truck Rock Crawler RTR Toy",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/9B/30/590e30e8-8644-4701-b481-03325ea9bc1e.jpg,https://www.banggood.com/HG-P407-1-or-10-2_4G-4WD-RC-Car-for-TOYATO-Metal-4X4-Pickup-Truck-Rock-Crawler-RTR-Toy-reviews-p1307753.html,"294,93€",€22.31,https://www.banggood.com/HG-P407-1-or-10-2_4G-4WD-RC-Car-for-TOYATO-Metal-4X4-Pickup-Truck-Rock-Crawler-RTR-Toy-p-1307753.html?p=4T181370308054202203&custlinkid=1834049
1329228,"HG P407A 1/10 2.4G 4WD RC Car Kit for TOYATO Metal 4X4 Pickup Truck No Servo Battery ESC Transmitter",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/09/62/0d02b4fd-e045-4d7d-a4a8-cb2fd220e341.jpg,https://www.banggood.com/HG-P407A-1-or-10-2_4G-4WD-RC-Car-Kit-for-TOYATO-Metal-4X4-Pickup-Truck-No-Servo-Battery-ESC-Transmitter-reviews-p1329228.html,"273,56€",€20.7,https://www.banggood.com/HG-P407A-1-or-10-2_4G-4WD-RC-Car-Kit-for-TOYATO-Metal-4X4-Pickup-Truck-No-Servo-Battery-ESC-Transmitter-p-1329228.html?p=4T181370308054202203&custlinkid=1796188
1332230,"HG P801 P802 1/12 2.4G 8X8 M983 739mm RC Car US Army Military Truck Without Battery Charger",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/F6/9E/33416e2e-b09b-4a4c-ab09-65830ca1ae62.jpg,https://www.banggood.com/HG-P801-P802-1-or-12-2_4G-8X8-M983-739mm-RC-Car-US-Army-Military-Truck-Without-Battery-Charger-reviews-p1332230.html,"602,69€",€45.6,https://www.banggood.com/HG-P801-P802-1-or-12-2_4G-8X8-M983-739mm-RC-Car-US-Army-Military-Truck-Without-Battery-Charger-p-1332230.html?p=4T181370308054202203&custlinkid=1794987
1333357,"ZD Racing 9116 1/8 2.4G 4WD 80A 3670 Brushless RC Car Monster Off-road Truck RTR Toy",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/07/52/c866d8c7-a47c-403b-82b7-db8352f1b397.jpg,https://www.banggood.com/ZD-Racing-9116-1-or-8-2_4G-4WD-80A-3670-Brushless-RC-Car-Monster-Off-road-Truck-RTR-Toy-reviews-p1333357.html,"234,99€",€17.78,https://www.banggood.com/ZD-Racing-9116-1-or-8-2_4G-4WD-80A-3670-Brushless-RC-Car-Monster-Off-road-Truck-RTR-Toy-p-1333357.html?p=4T181370308054202203&custlinkid=1796189
1381355,"Xinlehong 9137 1/16 2.4G 4WD 36km/h Rc Car W/ LED Light Desert Off-Road Monster Truck RTR Toy",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/FF/B1/25d169f8-c9ab-4af0-a047-553ef1e1ef55.jpg,https://www.banggood.com/Xinlehong-9137-1-or-16-2_4G-4WD-36km-or-h-Rc-Car-W-or-LED-Light-Desert-Off-Road-Monster-Truck-RTR-Toy-reviews-p1381355.html,"70,31€",€5.32,https://www.banggood.com/Xinlehong-9137-1-or-16-2_4G-4WD-36km-or-h-Rc-Car-W-or-LED-Light-Desert-Off-Road-Monster-Truck-RTR-Toy-p-1381355.html?p=4T181370308054202203&custlinkid=1796190
1410284,"JLB Racing CHEETAH 120A Upgrade 1/10 RC Car Frame Monster Truck 11101 Without Electric Parts",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/97/CC/cef41370-9ba1-4585-8519-b5f8932db2e3.jpg,https://www.banggood.com/JLB-Racing-CHEETAH-120A-Upgrade-1-or-10-RC-Car-Frame-Monster-Truck-11101-Without-Electric-Parts-reviews-p1410284.html,"249,33€",€18.86,https://www.banggood.com/JLB-Racing-CHEETAH-120A-Upgrade-1-or-10-RC-Car-Frame-Monster-Truck-11101-Without-Electric-Parts-p-1410284.html?p=4T181370308054202203&custlinkid=1796240
1435037,"Xinlehong 9125 2.4G 1/10 4WD Off Road RTR Crawler Truck With RC Car",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/D6/AA/219e49b8-6f68-480a-a3c8-b4d05739040f.jpg,https://www.banggood.com/Xinlehong-9125-2_4G-1-or-10-4WD-Off-Road-RTR-Crawler-Truck-With-RC-Car-reviews-p1435037.html,"115,40€",€8.73,https://www.banggood.com/Xinlehong-9125-2_4G-1-or-10-4WD-Off-Road-RTR-Crawler-Truck-With-RC-Car-p-1435037.html?p=4T181370308054202203&custlinkid=1794930
1447471,"URUAV 1/24 Mini RC Car Crawler 4WD 2.4G Waterproof RC Vehicle Model RTR for Kids and Adults",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/E1/3B/05363b72-158a-42ea-aa8f-f9a377ed5b0c.JPG,https://www.banggood.com/URUAV-1-or-24-Mini-RC-Car-Crawler-4WD-2_4G-Waterproof-RC-Vehicle-Model-RTR-for-Kids-and-Adults-reviews-p1447471.html,"80,48€",€6.09,https://www.banggood.com/URUAV-1-or-24-Mini-RC-Car-Crawler-4WD-2_4G-Waterproof-RC-Vehicle-Model-RTR-for-Kids-and-Adults-p-1447471.html?p=4T181370308054202203&custlinkid=1796165
1453137,"URUAV 1/24 2.4G 4WD Mini Rc Car Proportional Control Waterproof Crawler Electric Vehicle RTR Model",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/4A/BD/1c69b3bd-13c7-46c2-b3c9-c18a89141e79.jpg,https://www.banggood.com/URUAV-1-or-24-2_4G-4WD-Mini-Rc-Car-Proportional-Control-Waterproof-Crawler-Electric-Vehicle-RTR-Model-reviews-p1453137.html,"97,14€",€7.35,https://www.banggood.com/URUAV-1-or-24-2_4G-4WD-Mini-Rc-Car-Proportional-Control-Waterproof-Crawler-Electric-Vehicle-RTR-Model-p-1453137.html?p=4T181370308054202203&custlinkid=1796420
1482959,"HG P408 1/10 2.4G 4WD 16CH 30km/h RC Model Car U.S.4X4 Military Vehicle Truck without Battery Charger",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/BE/0C/f5e194d1-8c25-4db2-ae40-36acfb17aa4b.jpg,https://www.banggood.com/HG-P408-1-or-10-2_4G-4WD-16CH-30km-or-h-RC-Model-Car-U_S_4X4-Military-Vehicle-Truck-without-Battery-Charger-reviews-p1482959.html,"342,32€",€25.9,https://www.banggood.com/HG-P408-1-or-10-2_4G-4WD-16CH-30km-or-h-RC-Model-Car-U_S_4X4-Military-Vehicle-Truck-without-Battery-Charger-p-1482959.html?p=4T181370308054202203&custlinkid=1796194
1506698,"ZD Racing MT8 Pirates3 1/8 2.4G 4WD 90km/h 120A ESC Brushless RC Car Metal Chassis RTR Model",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/DC/94/dd05976e-fe62-4d01-a4e0-aa68843e1a16.jpg,https://www.banggood.com/ZD-Racing-MT8-Pirates3-1-or-8-2_4G-4WD-90km-or-h-120A-ESC-Brushless-RC-Car-Metal-Chassis-RTR-Model-reviews-p1506698.html,"264,60€",€20.02,https://www.banggood.com/ZD-Racing-MT8-Pirates3-1-or-8-2_4G-4WD-90km-or-h-120A-ESC-Brushless-RC-Car-Metal-Chassis-RTR-Model-p-1506698.html?p=4T181370308054202203&custlinkid=1794996
1543782,"ZD Pirates3 BX-8E 1/8 4WD Brushless 2.4G RTR RC Car Electric Vehicle Model",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/88/92/73cf1e23-e67c-4e2a-83ee-619dab350516.jpg,https://www.banggood.com/ZD-Pirates3-BX-8E-1-or-8-4WD-Brushless-2_4G-RTR-RC-Car-Electric-Vehicle-Model-reviews-p1543782.html,"314,56€",€23.8,https://www.banggood.com/ZD-Pirates3-BX-8E-1-or-8-4WD-Brushless-2_4G-RTR-RC-Car-Electric-Vehicle-Model-p-1543782.html?p=4T181370308054202203&custlinkid=1796428
1558441,"VRX RH1006 1/10 2.4G RC Car 75km/h High Speed Force.18 Gas Engine RTR Truck",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/9C/2B/d627a74e-8e28-45fd-b1d5-a8996bd26b8b.JPG,https://www.banggood.com/VRX-RH1006-1-or-10-2_4G-RC-Car-75km-or-h-High-Speed-Force_18-Gas-Engine-RTR-Truck-reviews-p1558441.html,"247,72€",€18.74,https://www.banggood.com/VRX-RH1006-1-or-10-2_4G-RC-Car-75km-or-h-High-Speed-Force_18-Gas-Engine-RTR-Truck-p-1558441.html?p=4T181370308054202203&custlinkid=1794998
1575827,"ZD Racing 9021 V3 1/8 4WD 80km/h Brushless RC Car Frame Kit without Electronic Parts",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/80/AA/530c3eb2-a3d9-4671-9123-8d7f885d2bc0.jpg,https://www.banggood.com/ZD-Racing-9021-V3-1-or-8-4WD-80km-or-h-Brushless-RC-Car-Frame-Kit-without-Electronic-Parts-reviews-p1575827.html,"286,38€",€21.67,https://www.banggood.com/ZD-Racing-9021-V3-1-or-8-4WD-80km-or-h-Brushless-RC-Car-Frame-Kit-without-Electronic-Parts-p-1575827.html?p=4T181370308054202203&custlinkid=1796429
1580368,"Eachine EAT01 RC Military Truck RC Army Truck with Several 1200mah Batteries with LED Light 1/12 2.4G 6WD Full Proportion All Terrains RC Military Vehicles Model RTR Heavy Off Road Crawler for Adults and Kids",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/9A/A0/b5838577-9746-4f52-b16a-851b5bd72ba7.jpg,https://www.banggood.com/Eachine-EAT01-RC-Military-Truck-RC-Army-Truck-with-Several-1200mah-Batteries-with-LED-Light-1-or-12-2_4G-6WD-Full-Proportion-All-Terrains-RC-Military-Vehicles-Model-RTR-Heavy-Off-Road-Crawler-for-Adults-and-Kids-reviews-p1580368.html,"37,00€ ~ 46,25€",€2.8,https://www.banggood.com/Eachine-EAT01-RC-Military-Truck-RC-Army-Truck-with-Several-1200mah-Batteries-with-LED-Light-1-or-12-2_4G-6WD-Full-Proportion-All-Terrains-RC-Military-Vehicles-Model-RTR-Heavy-Off-Road-Crawler-for-Adults-and-Kids-p-1580368.html?p=4T181370308054202203&custlinkid=1796430
