"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1105373,"Squishy Vomitive Slime Egg With Yellow Yolk Stress Reliever Fun Gift ",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/72/62/f39ebce8-49df-46f1-a061-e89c2f7c504d.jpg,https://www.banggood.com/Squishy-Vomitive-Slime-Egg-With-Yellow-Yolk-Stress-Reliever-Fun-Gift--reviews-p1105373.html,"5,54€ ~ 6,41€",€0.69,https://www.banggood.com/Squishy-Vomitive-Slime-Egg-With-Yellow-Yolk-Stress-Reliever-Fun-Gift--p-1105373.html?p=4T181370308054202203&custlinkid=1834402
1109924,"Squishy Mangosteen Tropical Fruit Squishy 5.5*5cm Key Chain Phone Bag Strap Pendant Decor Gift",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/6D/C1/339d5504-ed75-441d-b358-b02e4073515d.jpg,https://www.banggood.com/Squishy-Mangosteen-Tropical-Fruit-Squishy-5_5+5cm-Key-Chain-Phone-Bag-Strap-Pendant-Decor-Gift-reviews-p1109924.html,"6,37€",€0.69,https://www.banggood.com/Squishy-Mangosteen-Tropical-Fruit-Squishy-5_55cm-Key-Chain-Phone-Bag-Strap-Pendant-Decor-Gift-p-1109924.html?p=4T181370308054202203&custlinkid=1834403
1137197,"LeiLei Squishy Jumbo Turtle Slow Rising Original Packaging Cute Animal Collection Gift Decor Toy",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/6F/A0/a462497f-3d8d-486b-8763-e3e1e45cbb12.jpg,https://www.banggood.com/LeiLei-Squishy-Jumbo-Turtle-Slow-Rising-Original-Packaging-Cute-Animal-Collection-Gift-Decor-Toy-reviews-p1137197.html,"10,63€",€0.8,https://www.banggood.com/LeiLei-Squishy-Jumbo-Turtle-Slow-Rising-Original-Packaging-Cute-Animal-Collection-Gift-Decor-Toy-p-1137197.html?p=4T181370308054202203&custlinkid=1834252
1203666,"Squishy Half Strawberry 7cm Soft Slow Rising Fruit Collection Gift Decor Toy",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/55/F2/c50f692a-6500-45b0-8b29-ea14bb22cd13.jpg,https://www.banggood.com/Squishy-Half-Strawberry-7cm-Soft-Slow-Rising-Fruit-Collection-Gift-Decor-Toy-reviews-p1203666.html,"8,50€",€0.92,https://www.banggood.com/Squishy-Half-Strawberry-7cm-Soft-Slow-Rising-Fruit-Collection-Gift-Decor-Toy-p-1203666.html?p=4T181370308054202203&custlinkid=1796939
1205045,"Squishy Drumstick Chicken Bread Galaxy Color Jumbo 19cm Slow Rising Collection Gift Decor Toy",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/CF/8D/1460d962-aeb9-4d08-aa4a-9d58771a4ff9.jpg,https://www.banggood.com/Squishy-Drumstick-Chicken-Bread-Galaxy-Color-Jumbo-19cm-Slow-Rising-Collection-Gift-Decor-Toy-reviews-p1205045.html,"6,62€",€0.72,https://www.banggood.com/Squishy-Drumstick-Chicken-Bread-Galaxy-Color-Jumbo-19cm-Slow-Rising-Collection-Gift-Decor-Toy-p-1205045.html?p=4T181370308054202203&custlinkid=1796941
1213053,"SquishyShop Puppy In Boots Jumbo Dog Shoes Squishy Slow Rising With Packaging Collection Gift Decor ",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/80/48/69fc53f3-6b0b-4074-a5c3-3e5cd8d4fafc.jpg,https://www.banggood.com/SquishyShop-Puppy-In-Boots-Jumbo-Dog-Shoes-Squishy-Slow-Rising-With-Packaging-Collection-Gift-Decor--reviews-p1213053.html,"10,63€",€0.8,https://www.banggood.com/SquishyShop-Puppy-In-Boots-Jumbo-Dog-Shoes-Squishy-Slow-Rising-With-Packaging-Collection-Gift-Decor-p-1213053.html?p=4T181370308054202203&custlinkid=1834309
1213054,"SquishyShop Orange Toast 7.5cm Bread Squishy Soft Slow Rising Collection Gift Decor Toy",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/5F/63/e098ba5f-1588-4340-8639-a019e5c65b0b.JPG,https://www.banggood.com/SquishyShop-Orange-Toast-7_5cm-Bread-Squishy-Soft-Slow-Rising-Collection-Gift-Decor-Toy-reviews-p1213054.html,"8,50€",€0.92,https://www.banggood.com/SquishyShop-Orange-Toast-7_5cm-Bread-Squishy-Soft-Slow-Rising-Collection-Gift-Decor-Toy-p-1213054.html?p=4T181370308054202203&custlinkid=1834310
1213666,"SquishyFun Squishy Snowman Father Christmas Santa Claus 7cm Slow Rising With Packaging Collection Gift Decor ",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/EB/A0/1aeef630-2d33-4bc7-ad55-58246363bad4.jpg,https://www.banggood.com/SquishyFun-Squishy-Snowman-Father-Christmas-Santa-Claus-7cm-Slow-Rising-With-Packaging-Collection-Gift-Decor--reviews-p1213666.html,"8,50€",€0.92,https://www.banggood.com/SquishyFun-Squishy-Snowman-Father-Christmas-Santa-Claus-7cm-Slow-Rising-With-Packaging-Collection-Gift-Decor--p-1213666.html?p=4T181370308054202203&custlinkid=1834488
1213791,"Oriker Squishy Angel Mermaid 16cm Soft Sweet Slow Rising Original Packaging Collection Gift Decor",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/81/11/b08c797d-bfa7-4cc9-b5b5-088a801c7360.jpg,https://www.banggood.com/Oriker-Squishy-Angel-Mermaid-16cm-Soft-Sweet-Slow-Rising-Original-Packaging-Collection-Gift-Decor-reviews-p1213791.html,"7,44€",€0.8,https://www.banggood.com/Oriker-Squishy-Angel-Mermaid-16cm-Soft-Sweet-Slow-Rising-Original-Packaging-Collection-Gift-Decor-p-1213791.html?p=4T181370308054202203&custlinkid=1834311
1219362,"11.5cm PU Corful Green Cat Slow Rising Squishy Decompression Toys With Original Packaging",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/2F/2F/8fe460e8-dee8-4881-8308-7b12c8dba6ca.jpg,https://www.banggood.com/11_5cm-PU-Corful-Green-Cat-Slow-Rising-Squishy-Decompression-Toys-With-Original-Packaging-reviews-p1219362.html,"9,57€",€0.72,https://www.banggood.com/11_5cm-PU-Corful-Green-Cat-Slow-Rising-Squishy-Decompression-Toys-With-Original-Packaging-p-1219362.html?p=4T181370308054202203&custlinkid=1796944
