"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1012961,"Drillpro Miter Track Stop for T-Slot T-Track Wood Working Tool",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/79/5A/9da2aa0d-6520-4e8e-a23c-9376ae88a3c7.jpg,https://www.banggood.com/Drillpro-Miter-Track-Stop-for-T-Slot-T-Track-Wood-Working-Tool-reviews-p1012961.html,"9,60€",€0.42,https://www.banggood.com/Miter-Track-Stop-for-T-Slot-T-Tracks-Woodworking-Tool-p-1012961.html?p=4T181370308054202203&custlinkid=1844087
1044403,"10X 15X 20X 25X Spectacles Glasses LED Lamp Magnifier Loupe Jewellery Maintain with 8pcs Replacement",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A6/21/d5ff9e20-b0e7-d586-98a4-7a1dcaf64075.jpg,https://www.banggood.com/10X-15X-20X-25X-Spectacles-Glasses-LED-Lamp-Magnifier-Loupe-Jewellery-Maintain-with-8pcs-Replacement-reviews-p1044403.html,"12,02€",€0.52,https://www.banggood.com/10X-15X-20X-25X-Spectacles-Glasses-LED-Lamp-Magnifier-Loupe-Jewellery-Maintain-with-8pcs-Replacement-p-1044403.html?p=4T181370308054202203&custlinkid=1844088
1156260,"Machifit MGN12 100-1000mm Linear Rail Guide with MGN12H Linear Sliding Guide Block CNC Parts",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/B5/D3/d5177f97-c5bc-491b-a311-5c668de1d6fb.jpg,https://www.banggood.com/Machifit-MGN12-100-1000mm-Linear-Rail-Guide-with-MGN12H-Linear-Sliding-Guide-Block-CNC-Parts-reviews-p1156260.html,"12,02€ ~ 44,40€",€0.65,https://www.banggood.com/Machifit-MGN12-100-1000mm-Linear-Rail-Guide-with-MGN12H-Linear-Sliding-Guide-Block-CNC-Parts-p-1156260.html?p=4T181370308054202203&custlinkid=1844089
1187158,"XIAOMI Mijia 24 in 1 Multi-purpose Precision Screwdriver Set Aluminium S2 Steel Repair Tools",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/9A/2F/a5904574-5ef5-404d-8cd5-4d028ec3f697.jpeg,https://www.banggood.com/XIAOMI-Mijia-24-in-1-Multi-purpose-Precision-Screwdriver-Set-Aluminium-S2-Steel-Repair-Tools-reviews-p1187158.html,"32,97€",€1.43,https://www.banggood.com/XIAOMI-Mijia-24-in-1-Multi-purpose-Precision-Screwdriver-Set-Aluminium-S2-Steel-Repair-Tools-p-1187158.html?p=4T181370308054202203&custlinkid=1844090
1294707,"Wowstick 1F+ 64 In 1 Cordless Electric Screwdriver Lithium-ion Charge LED Power Screwdriver",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/7F/9B/b149ffd8-2543-4ad1-8da8-3a098e5f1ed9.jpg,https://www.banggood.com/Wowstick-1F+-64-In-1-Cordless-Electric-Screwdriver-Lithium-ion-Charge-LED-Power-Screwdriver-reviews-p1294707.html,"37,00€",€1.6,https://www.banggood.com/Wowstick-1F+-64-In-1-Cordless-Electric-Screwdriver-Lithium-ion-Charge-LED-Power-Screwdriver-p-1294707.html?p=4T181370308054202203&custlinkid=1844091
1308240,"Drillpro M35 Cobalt Countersink Drill Bit 1-4/2-5/5-10/10-15mm Deburring Chamfer Drill Bit",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/D6/32/c59e7914-b8c3-405d-ae6d-186a88b3b3be.jpg,https://www.banggood.com/Drillpro-M35-Cobalt-Countersink-Drill-Bit-1-4-or-2-5-or-5-10-or-10-15mm-Deburring-Chamfer-Drill-Bit-reviews-p1308240.html,"4,62€ ~ 9,24€",€0.23,https://www.banggood.com/Drillpro-M35-Cobalt-Countersink-Drill-Bit-1-4-or-2-5-or-5-10-or-10-15mm-Deburring-Chamfer-Drill-Bit-p-1308240.html?p=4T181370308054202203&custlinkid=1844092
1351501,"18V 3.0Ah-6.0Ah Battery Replacement for Makita 18V BL1830 BL1840 BL1850 BL1860 BL1835 194205-3 194309-1 LXT-400 Cordless Battery Power Tool Battery",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/63/DD/80b714c1-1ab2-4ea0-a23e-72592a3798f8.jpg,https://www.banggood.com/18V-3_0Ah-6_0Ah-Battery-Replacement-for-Makita-18V-BL1830-BL1840-BL1850-BL1860-BL1835-194205-3-194309-1-LXT-400-Cordless-Battery-Power-Tool-Battery-reviews-p1351501.html,"33,30€ ~ 42,55€",€1.84,https://www.banggood.com/18V-3_0Ah-6_0Ah-Battery-Replacement-for-Makita-18V-BL1830-BL1840-BL1850-BL1860-BL1835-194205-3-194309-1-LXT-400-Cordless-Battery-Power-Tool-Battery-p-1351501.html?p=4T181370308054202203&custlinkid=1844093
1400436,"Drillpro Upgraded Miter Gauge Brass Handle Table/Saw Router Miter Gauge Sawing Assembly Ruler",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/0F/3D/6ac766b4-f829-4d1f-9bfb-299f315cd130.JPG,https://www.banggood.com/Drillpro-Upgraded-Miter-Gauge-Brass-Handle-Table-or-Saw-Router-Miter-Gauge-Sawing-Assembly-Ruler-reviews-p1400436.html,"51,80€",€2.24,https://www.banggood.com/Drillpro-Upgraded-Miter-Gauge-Brass-Handle-Table-or-Saw-Router-Miter-Gauge-Sawing-Assembly-Ruler-p-1400436.html?p=4T181370308054202203&custlinkid=1844094
1415416,"Drillpro 300-1220mm T-track T-slot Miter Track Jig T Screw Fixture Slot 19x9.5mm For Table Saw Router Table Woodworking Tool",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/E3/E7/fdf16229-37e2-4b88-8278-1346a54782dc.JPG,https://www.banggood.com/Drillpro-300-1220mm-T-track-T-slot-Miter-Track-Jig-T-Screw-Fixture-Slot-19x9_5mm-For-Table-Saw-Router-Table-Woodworking-Tool-reviews-p1415416.html,"5,54€ ~ 14,79€",€0.23,https://www.banggood.com/Drillpro-300-1220mm-T-track-T-slot-Miter-Track-Jig-T-Screw-Fixture-Slot-19x9_5mm-For-Table-Saw-Router-Table-Woodworking-Tool-p-1415416.html?p=4T181370308054202203&custlinkid=1844095
1416071,"VIOLEWORKS 2 Speed Power Drills 6000maAh Cordless Drill 3 IN 1 Electric Screwdriver Hammer Drill with 2pcs Batteries",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/27/B7/9e28542c-2fce-4971-b636-599f9775ae5f.jpg,https://www.banggood.com/VIOLEWORKS-2-Speed-Power-Drills-6000maAh-Cordless-Drill-3-IN-1-Electric-Screwdriver-Hammer-Drill-with-2pcs-Batteries-reviews-p1416071.html,"55,50€",€2.4,https://www.banggood.com/VIOLEWORKS-2-Speed-Power-Drills-6000maAh-Cordless-Drill-3-IN-1-Electric-Screwdriver-Hammer-Drill-with-2pcs-Batteries-p-1416071.html?p=4T181370308054202203&custlinkid=1844096
