"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
919271,"Spring RC 360 Degree Continuous Rotation Robot Servo SM-S4306R",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/CF/10/59089c10-93ee-4bc5-b8de-d8c1f6b24f73.JPG,https://www.banggood.com/Spring-RC-360-Degree-Continuous-Rotation-Robot-Servo-SM-S4306R-reviews-p919271.html,"16,02€",€1.21,https://www.banggood.com/Spring-RC-360-Degree-Continuous-Rotation-Robot-Servo-SM-S4306R-p-919271.html?p=4T181370308054202203&custlinkid=1795568
1034024,"UBTECH Jimu 3D Programmable Creativity DIY Robot Kit 50% Coupon Code: BGYBX50",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/A6/93/10489aa0-841d-44ba-bbdf-e3149171e5e8.jpg,https://www.banggood.com/UBTECH-Jimu-3D-Programmable-Creativity-DIY-Robot-Kit-50-pencent-Coupon-Code--BGYBX50-reviews-p1034024.html,"119,16€",€9.02,https://www.banggood.com/UBTECH-Jimu-3D-Programmable-Creativity-DIY-Robot-Kit-50-pencent-Coupon-Code--BGYBX50-p-1034024.html?p=4T181370308054202203&custlinkid=1795508
1154872,"JX Servo CLS6036HV 35kg 180 Degree Coreless Digital Servo",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/81/2A/10f26641-e777-48f2-94eb-69a4be24cf84.JPG,https://www.banggood.com/JX-Servo-CLS6036HV-35kg-180-Degree-Coreless-Digital-Servo-reviews-p1154872.html,"38,46€",€2.91,https://www.banggood.com/JX-Servo-CLS6036HV-35kg-180-Degree-Coreless-Digital-Servo-p-1154872.html?p=4T181370308054202203&custlinkid=1795574
1171586,"25mm Metal Gear Motor Support Bracket Motor Fixed Mount ",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/2D/64/397b914d-a432-4af9-8e6e-2e44daa8c037.jpg,https://www.banggood.com/25mm-Metal-Gear-Motor-Support-Bracket-Motor-Fixed-Mount--reviews-p1171586.html,"6,40€",€0.69,https://www.banggood.com/25mm-Metal-Gear-Motor-Support-Bracket-Motor-Fixed-Mount-p-1171586.html?p=4T181370308054202203&custlinkid=1795575
1171587,"3mm 4mm 5mm 6mm 7mm Hexagonal Copper Coupling Coupler for Robot Car Wheel",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/5F/F4/dcf4b6d7-ab1c-449c-8351-1e6d8f9aef3c.jpg,https://www.banggood.com/3mm-4mm-5mm-6mm-7mm-Hexagonal-Copper-Coupling-Coupler-for-Robot-Car-Wheel-reviews-p1171587.html,"6,40€",€0.69,https://www.banggood.com/3mm-4mm-5mm-6mm-7mm-Hexagonal-Copper-Coupling-Coupler-for-Robot-Car-Wheel-p-1171587.html?p=4T181370308054202203&custlinkid=1795453
1228473,"Servo Tester & Voltage Display 2 in 1 Servo Controller for RC Car Robot",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/A4/E3/6dfc7160-a25f-436a-b37a-162ea0915981.jpg,https://www.banggood.com/Servo-Tester-and-Voltage-Display-2-in-1-Servo-Controller-for-RC-Car-Robot-reviews-p1228473.html,"13,88€",€1.05,https://www.banggood.com/Servo-Tester-and-Voltage-Display-2-in-1-Servo-Controller-for-RC-Car-Robot-p-1228473.html?p=4T181370308054202203&custlinkid=1795579
1235787,"Xiao R DIY Smart Robot Wifi Video Control Car with Camera Gimbal  UNO R3 Board",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/45/B6/3bd0e6c8-1e6d-44fc-8a93-98cfe36d0256.jpg,https://www.banggood.com/Xiao-R-DIY-Smart-Robot-Wifi-Video-Control-Car-with-Camera-Gimbal-UNO-R3-Board-reviews-p1235787.html,"148,52€",€11.24,https://www.banggood.com/Xiao-R-DIY-Smart-Robot-Wifi-Video-Control-Car-with-Camera-Gimbal-Arduino-UNO-R3-Board-p-1235787.html?p=4T181370308054202203&custlinkid=1795580
1254216,"DIY Educational Mechanical Obstacle Avoidance Car Scientific Invention Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/42/2D/46ae7bcd-060f-40ed-859e-47bc9d77c7b6.jpg,https://www.banggood.com/DIY-Educational-Mechanical-Obstacle-Avoidance-Car-Scientific-Invention-Toys-reviews-p1254216.html,"10,68€",€0.81,https://www.banggood.com/DIY-Educational-Mechanical-Obstacle-Avoidance-Car-Scientific-Invention-Toys-p-1254216.html?p=4T181370308054202203&custlinkid=1795459
1257218,"DIY Educational Electric Automatic Obstacle Avoidance Robot Scientific Invention Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/C9/78/bd2b914c-00a8-436d-9b5f-5ade5148ea50.jpg,https://www.banggood.com/DIY-Educational-Electric-Automatic-Obstacle-Avoidance-Robot-Scientific-Invention-Toys-reviews-p1257218.html,"7,47€",€0.81,https://www.banggood.com/DIY-Educational-Electric-Automatic-Obstacle-Avoidance-Robot-Scientific-Invention-Toys-p-1257218.html?p=4T181370308054202203&custlinkid=1795582
1257253,"DIY Smart Robot Tank Chassis Car with Crawler Kit for  Uno R3",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/BE/9E/65b574bb-b179-4386-98c0-ed6ee8bea8b8.jpg,https://www.banggood.com/DIY-Smart-Robot-Tank-Chassis-Car-with-Crawler-Kit-for-Uno-R3-reviews-p1257253.html,"66,24€",€5.01,https://www.banggood.com/DIY-Smart-Robot-Tank-Chassis-Car-with-Crawler-Kit-for-Arduino-Uno-R3-p-1257253.html?p=4T181370308054202203&custlinkid=1795584
1311469,"DIY 4WD Double-Deck Smart Robot Car Chassis Kits with Speed Encoder",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/A8/11/57994f92-3171-4a3c-a1e8-7f9d318bbee5.jpg,https://www.banggood.com/DIY-4WD-Double-Deck-Smart-Robot-Car-Chassis-Kits-with-Speed-Encoder-reviews-p1311469.html,"24,56€",€1.86,https://www.banggood.com/DIY-4WD-Double-Deck-Smart-Robot-Car-Chassis-Kits-with-Speed-Encoder-p-1311469.html?p=4T181370308054202203&custlinkid=1795462
1327127,"DIY Electric Ball Shooting Machine Robot Toy Assembled Toy For Chidren",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/BF/9C/63e254b1-9e9d-468f-ade7-ac1eb06281fa.jpg,https://www.banggood.com/DIY-Electric-Ball-Shooting-Machine-Robot-Toy-Assembled-Toy-For-Chidren-reviews-p1327127.html,"11,74€",€0.89,https://www.banggood.com/DIY-Electric-Ball-Shooting-Machine-Robot-Toy-Assembled-Toy-For-Chidren-p-1327127.html?p=4T181370308054202203&custlinkid=1795466
