"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1089188,"Mens Casual Business Fashion Jacket",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/D1/45/969e59bb-d91e-4844-b37b-87795b378292.jpg,https://usa.banggood.com/Mens-Casual-Business-Fashion-Jacket-reviews-p1089188.html,"75,77€",€3.17,https://usa.banggood.com/Mens-Casual-Business-Slim-Fit-Zipper-Single-breasted-Stand-Collar-Personality-Fashion-Jacket-p-1089188.html?p=4T181370308054202203&custlinkid=1853023
1094493,"Mens Thick Fleece Winter Coat Hooded Outdoor Solid Color Jacket",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/0F/08/c8b115a8-be8c-4ca2-b710-9af5ea72d4b3.jpg,https://usa.banggood.com/Mens-Thick-Fleece-Winter-Coat-Hooded-Outdoor-Solid-Color-Jacket-reviews-p1094493.html,"93,24€",€3.91,https://usa.banggood.com/Mens-Thick-Fleece-Winter-Coat-Hooded-Outdoor-Solid-Color-Jacket-p-1094493.html?p=4T181370308054202203&custlinkid=1853024
1191328,"Mens British Style Slim Fit Business Fashion Casual Double Breasted Waistcoats",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/71/D3/5605bf42-55b9-49ee-800b-831d3cc5cba8.jpeg,https://usa.banggood.com/Mens-British-Style-Slim-Fit-Business-Fashion-Casual-Double-Breasted-Waistcoats-reviews-p1191328.html,"63,69€",€2.67,https://usa.banggood.com/Mens-British-Style-Slim-Fit-Business-Fashion-Casual-Double-Breasted-Waistcoats-p-1191328.html?p=4T181370308054202203&custlinkid=1853025
1218335,"Casual Thicken Moto Leather Jacket",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/55/4E/b098aa1a-332a-45b2-aa11-bb56f61d0012.jpg,https://usa.banggood.com/Casual-Thicken-Moto-Leather-Jacket-reviews-p1218335.html,"104,32€",€4.37,https://usa.banggood.com/Mens-Casual-Moto-Leather-Jacket-Multi-Pockets-Thicken-Fleece-Jacket-p-1218335.html?p=4T181370308054202203&custlinkid=1853026
1350749,"Mens Spring Fall Mid Long Solid Color Casual Cardigans with Pocket Jacket",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/A9/79/d1cfa3a0-0f57-447d-a6c0-e0b471f5775f.jpg,https://usa.banggood.com/Mens-Spring-Fall-Mid-Long-Solid-Color-Casual-Cardigans-with-Pocket-Jacket-reviews-p1350749.html,"28,67€",€1.2,https://usa.banggood.com/Mens-Spring-Fall-Mid-Long-Solid-Color-Casual-Cardigans-with-Pocket-Jacket-p-1350749.html?p=4T181370308054202203&custlinkid=1853027
1356934,"Mens Fashion Casual Fleece Warm Solid Color Hooded Coats",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/56/AF/ec87a557-7c5f-4b3e-a145-fe87575a4933.jpg,https://usa.banggood.com/Mens-Fashion-Casual-Fleece-Warm-Solid-Color-Hooded-Coats-reviews-p1356934.html,"48,31€",€2.02,https://usa.banggood.com/Mens-Fashion-Casual-Fleece-Warm-Solid-Color-Hooded-Coats-p-1356934.html?p=4T181370308054202203&custlinkid=1853028
1360261,"Winter Fleece Warm PU Faux Leather Motorcycle Biker Jacket",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/57/B4/cbc0272d-cfb6-4d8c-b68d-d1f428eae10c.jpg,https://usa.banggood.com/Winter-Fleece-Warm-PU-Faux-Leather-Motorcycle-Biker-Jacket-reviews-p1360261.html,"70,28€",€2.94,https://usa.banggood.com/Mens-Winter-Thick-Fleece-Warm-PU-Faux-Leather-Motorcycle-Biker-Jacket-p-1360261.html?p=4T181370308054202203&custlinkid=1853029
1364030,"Mens Outdoor Water Repellent Thick Fleece Multi Function Poc",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/62/CC/53b38ff3-e3df-4df2-9b89-87a3c3434762.jpg,https://usa.banggood.com/Mens-Outdoor-Water-Repellent-Thick-Fleece-Multi-Function-Poc-reviews-p1364030.html,"47,74€",€2,https://usa.banggood.com/Mens-Outdoor-Water-Repellent-Thick-Fleece-Multi-Function-Pockets-Solid-Color-Vest-p-1364030.html?p=4T181370308054202203&custlinkid=1853030
1365911,"Mens Military Outdoor Thick Fleece Zipper Winter Hooded Tooling Jacket",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/1D/DD/6131898d-9f21-4129-9bfe-d5bc52c10af5.jpg,https://usa.banggood.com/Mens-Military-Outdoor-Thick-Fleece-Zipper-Winter-Hooded-Tooling-Jacket-reviews-p1365911.html,"113,11€",€4.74,https://usa.banggood.com/Mens-Military-Outdoor-Thick-Fleece-Zipper-Winter-Hooded-Tooling-Jacket-p-1365911.html?p=4T181370308054202203&custlinkid=1853031
1373975,"Mens Jacquard Casual Palace Wedding Banquet Night Dress Suit",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/AB/26/9c56b544-720b-4aec-afaf-58308cd018b2.jpg,https://usa.banggood.com/Mens-Jacquard-Casual-Palace-Wedding-Banquet-Night-Dress-Suit-reviews-p1373975.html,"65,88€",€2.76,https://usa.banggood.com/Mens-Jacquard-Casual-Dress-Suit-Palace-Wedding-Banquet-Nightclub-Stage-Blazers-p-1373975.html?p=4T181370308054202203&custlinkid=1853032
