"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1041847,"Summer Breathable Beach Sandals Rhinestone Chic Shoes Slip On Platform Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/15/B3/3c578e39-7c10-4ce9-a730-933a0c081bd2.jpg,https://www.banggood.com/Summer-Breathable-Beach-Sandals-Rhinestone-Chic-Shoes-Slip-On-Platform-Sandals-reviews-p1041847.html,"35,10€",€1.52,https://www.banggood.com/Summer-Breathable-Beach-Sandals-Rhinestone-Chic-Shoes-Slip-On-Platform-Sandals-p-1041847.html?p=4T181370308054202203&custlinkid=1840508
1060144,"Bohemia Bead Wedge Beach Sandals Slip On Flip Flops Elastic Peep Toe Wedges",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/49/E3/05755468-c673-4d0d-894f-e86b74d8534a.jpg,https://www.banggood.com/Bohemia-Bead-Wedge-Beach-Sandals-Slip-On-Flip-Flops-Elastic-Peep-Toe-Wedges-reviews-p1060144.html,"51,83€",€2.24,https://www.banggood.com/Bohemia-Bead-Wedge-Beach-Sandals-Slip-On-Flip-Flops-Elastic-Peep-Toe-Wedges-p-1060144.html?p=4T181370308054202203&custlinkid=1840509
1061094,"Bohemia Bead Rhinestone Elastic Beach Flat Sandals Peep Toe Flip Flops",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/AE/4A/eb5367b1-e967-43aa-85cf-3d3d4d8d9aa3.jpg,https://www.banggood.com/Bohemia-Bead-Rhinestone-Elastic-Beach-Flat-Sandals-Peep-Toe-Flip-Flops-reviews-p1061094.html,"53,19€",€2.3,https://www.banggood.com/Bohemia-Bead-Rhinestone-Elastic-Beach-Flat-Sandals-Peep-Toe-Flip-Flops-p-1061094.html?p=4T181370308054202203&custlinkid=1840510
1212928,"SOCOFY Retro Colorful Leather Handmade Flower Flats Shoes",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/C4/48/9eb80600-ea9c-4403-b5ae-fcffab458d34.JPG,https://www.banggood.com/SOCOFY-Retro-Colorful-Leather-Handmade-Flower-Flats-Shoes-reviews-p1212928.html,"58,51€",€2.53,https://www.banggood.com/SOCOFY-Retro-Colorful-Leather-Handmade-Flower-Flats-Shoes-p-1212928.html?p=4T181370308054202203&custlinkid=1840514
1278973,"Genuine Leather Casual Flat Sandals",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/43/A4/58b802be-7a26-4ec2-b091-83a2194b5abd.jpg,https://www.banggood.com/Genuine-Leather-Casual-Flat-Sandals-reviews-p1278973.html,"52,35€",€2.26,https://www.banggood.com/Genuine-Leather-Casual-Shoe-Hollow-Out-Soft-Sole-Flat-Sandals-p-1278973.html?p=4T181370308054202203&custlinkid=1840520
1280351,"SOCOFY Handmade Floral Folkways Leather Sandals ",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/2A/25/13383519-ce9b-4062-a55f-3e02f9db3b80.JPG,https://www.banggood.com/SOCOFY-Handmade-Floral-Folkways-Leather-Sandals--reviews-p1280351.html,"62,65€",€2.71,https://www.banggood.com/SOCOFY-Handmade-Floral-Folkways-Leather-Sandals--p-1280351.html?p=4T181370308054202203&custlinkid=1840521
1286153,"Soft Leather Hollow Out Casual Hook Loop Flat Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/41/52/b9ee95eb-e791-4784-a569-5e4eb89cb6ec.JPG,https://www.banggood.com/Soft-Leather-Hollow-Out-Casual-Hook-Loop-Flat-Sandals-reviews-p1286153.html,"47,21€",€2.04,https://www.banggood.com/Soft-Leather-Hollow-Out-Casual-Hook-Loop-Flat-Sandals-p-1286153.html?p=4T181370308054202203&custlinkid=1840401
1307484,"SOCOFY Genuine Leather Hook Loop Sandals",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/F5/D8/1ee55647-160f-4f67-bbe2-8a43bce7c55d.JPG,https://www.banggood.com/SOCOFY-Genuine-Leather-Hook-Loop-Sandals-reviews-p1307484.html,"56,16€",€2.43,https://www.banggood.com/SOCOFY-Genuine-Leather-Hook-Loop-Handmade-Flowers-Sandals-p-1307484.html?p=4T181370308054202203&custlinkid=1840403
1308411,"Hollow Out Breathable Soft Comfortable Sandals",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/06/CB/d8516d8c-8385-4afd-be2a-c17764de9cce.JPG,https://www.banggood.com/Hollow-Out-Breathable-Soft-Comfortable-Sandals-reviews-p1308411.html,"56,62€",€2.45,https://www.banggood.com/US-Size-5-12-Hollow-Out-Breathable-Slip-On-Soft-Comfortable-Sandals-p-1308411.html?p=4T181370308054202203&custlinkid=1840451
1316976,"US Size 5-12 Hollow Casual Comfortable Flat Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A0/91/3d4e191b-c844-4e24-87db-37cce0f95230.jpg,https://www.banggood.com/US-Size-5-12-Hollow-Casual-Comfortable-Flat-Sandals-reviews-p1316976.html,"32,97€",€1.43,https://www.banggood.com/US-Size-5-12-Hollow-Casual-Comfortable-Flat-Sandals-p-1316976.html?p=4T181370308054202203&custlinkid=1840405
1317542,"Women Shoes Comfortable Casual Flat Sandals",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/AD/5E/b47106f0-1409-46cc-994a-762bf68a67c0.jpg,https://www.banggood.com/Women-Shoes-Comfortable-Casual-Flat-Sandals-reviews-p1317542.html,"39,70€",€1.72,https://www.banggood.com/Women-Bohemian-Rhinestone-Comfortable-Casual-Flat-Sandals-p-1317542.html?p=4T181370308054202203&custlinkid=1840523
1333400,"Hollow Out Casual Slip On Leather Wedge Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/5D/DF/27debc0a-de96-4d1d-a600-c841eeac67d6.jpeg,https://www.banggood.com/Hollow-Out-Casual-Slip-On-Leather-Wedge-Sandals-reviews-p1333400.html,"53,42€",€2.31,https://www.banggood.com/Hollow-Out-Casual-Slip-On-Leather-Wedge-Sandals-p-1333400.html?p=4T181370308054202203&custlinkid=1840406
1413708,"Large Size Rome Peep Toe Casual Buckle Flat Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/CE/6A/3cb9918b-afec-4464-adac-90acca40e470.jpg,https://www.banggood.com/Large-Size-Rome-Peep-Toe-Casual-Buckle-Flat-Sandals-reviews-p1413708.html,"51,23€",€2.21,https://www.banggood.com/Large-Size-Rome-Peep-Toe-Casual-Buckle-Flat-Sandals-p-1413708.html?p=4T181370308054202203&custlinkid=1840528
1422676,"Large Size Bohemian Elastic Band Casual Comfy Flat Sandals",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/DE/60/5b25ccae-71ce-4894-bb38-7d3aa28a929c.jpg,https://www.banggood.com/Large-Size-Bohemian-Elastic-Band-Casual-Comfy-Flat-Sandals-reviews-p1422676.html,"44,52€",€1.92,https://www.banggood.com/Large-Size-Bohemian-Elastic-Band-Casual-Comfy-Flat-Sandals-p-1422676.html?p=4T181370308054202203&custlinkid=1840414
1422677,"Bohemian Weave Rhinestone Elastic Band Soft Casual Sandals",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/EB/EA/eacadd82-3534-457b-b5c9-6ced071c492d.jpg,https://www.banggood.com/Bohemian-Weave-Rhinestone-Elastic-Band-Soft-Casual-Sandals-reviews-p1422677.html,"45,63€",€1.97,https://www.banggood.com/Bohemian-Weave-Rhinestone-Elastic-Band-Soft-Casual-Sandals-p-1422677.html?p=4T181370308054202203&custlinkid=1840531
1433373,"LOSTISY Women Beach Flip Flops Soft Casual Wedge Sandals",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/94/44/01a09338-90f3-4ca5-9993-01027e6f3e70.JPG,https://www.banggood.com/LOSTISY-Women-Beach-Flip-Flops-Soft-Casual-Wedge-Sandals-reviews-p1433373.html,"34,03€",€1.47,https://www.banggood.com/LOSTISY-Women-Beach-Flip-Flops-Soft-Casual-Comfortable-Wedge-Sandals-p-1433373.html?p=4T181370308054202203&custlinkid=1840532
